,state,county,employed
0, AL,Autauga County,25823
1, AL,Baldwin County,93133
2, AL,Barbour County,8331
3, AL,Bibb County,8689
4, AL,Blount County,25154
5, AL,Bullock County,4615
6, AL,Butler County,8844
7, AL,Calhoun County,44804
8, AL,Chambers County,15373
9, AL,Cherokee County,11166
10, AL,Chilton County,19576
11, AL,Choctaw County,4372
12, AL,Clarke County,7074
13, AL,Clay County,5919
14, AL,Cleburne County,5590
15, AL,Coffee County,20578
16, AL,Colbert County,22903
17, AL,Conecuh County,4309
18, AL,Coosa County,4367
19, AL,Covington County,15015
20, AL,Crenshaw County,6198
21, AL,Cullman County,37812
22, AL,Dale County,19984
23, AL,Dallas County,13881
24, AL,DeKalb County,30147
25, AL,Elmore County,37113
26, AL,Escambia County,14212
27, AL,Etowah County,42915
28, AL,Fayette County,6352
29, AL,Franklin County,14372
30, AL,Geneva County,10674
31, AL,Greene County,2721
32, AL,Hale County,5942
33, AL,Henry County,6638
34, AL,Houston County,44614
35, AL,Jackson County,22461
36, AL,Jefferson County,316226
37, AL,Lamar County,5646
38, AL,Lauderdale County,41662
39, AL,Lawrence County,13989
40, AL,Lee County,75998
41, AL,Limestone County,42930
42, AL,Lowndes County,3464
43, AL,Macon County,7591
44, AL,Madison County,182392
45, AL,Marengo County,7333
46, AL,Marion County,12353
47, AL,Marshall County,42991
48, AL,Mobile County,184657
49, AL,Monroe County,6997
50, AL,Montgomery County,104763
51, AL,Morgan County,57159
52, AL,Perry County,3239
53, AL,Pickens County,7822
54, AL,Pike County,14966
55, AL,Randolph County,9393
56, AL,Russell County,23220
57, AL,St. Clair County,40015
58, AL,Shelby County,114678
59, AL,Sumter County,4710
60, AL,Talladega County,34570
61, AL,Tallapoosa County,17955
62, AL,Tuscaloosa County,103244
63, AL,Walker County,25123
64, AL,Washington County,6422
65, AL,Wilcox County,2507
66, AL,Winston County,9744
67, AK,Aleutians East Borough,1072
68, AK,Aleutians West Census Area,2411
69, AK,Anchorage Borough/municipality,141539
70, AK,Bethel Census Area,6477
71, AK,Bristol Bay Borough,209
72, AK,Denali Borough,468
73, AK,Dillingham Census Area,1475
74, AK,Fairbanks North Star Borough,41701
75, AK,Haines Borough,845
76, AK,Hoonah-Angoon Census Area,826
77, AK,Juneau Borough/city,15568
78, AK,Kenai Peninsula Borough,23563
79, AK,Ketchikan Gateway Borough,6071
80, AK,Kodiak Island Borough,4879
81, AK,Kusilvak Census Area,2250
82, AK,Lake and Peninsula Borough,526
83, AK,Matanuska-Susitna Borough,43479
84, AK,Nome Census Area,3682
85, AK,North Slope Borough,3232
86, AK,Northwest Arctic Borough,2587
87, AK,Petersburg Borough,1209
88, AK,Prince of Wales-Hyder Census Area,2511
89, AK,Sitka Borough/city,3851
90, AK,Skagway Municipality,504
91, AK,Southeast Fairbanks Census Area,2560
92, AK,Valdez-Cordova Census Area,3827
93, AK,Wrangell Borough/city,925
94, AK,Yakutat Borough/city,208
95, AK,Yukon-Koyukuk Census Area,2166
96, AZ,Apache County,18912
97, AZ,Cochise County,48516
98, AZ,Coconino County,73397
99, AZ,Gila County,20746
100, AZ,Graham County,15328
101, AZ,Greenlee County,4187
102, AZ,La Paz County,9034
103, AZ,Maricopa County,2269205
104, AZ,Mohave County,84077
105, AZ,Navajo County,37981
106, AZ,Pima County,486161
107, AZ,Pinal County,180608
108, AZ,Santa Cruz County,18843
109, AZ,Yavapai County,104343
110, AZ,Yuma County,86939
111, AR,Arkansas County,9155
112, AR,Ashley County,7179
113, AR,Baxter County,15525
114, AR,Benton County,135623
115, AR,Boone County,15462
116, AR,Bradley County,4334
117, AR,Calhoun County,2317
118, AR,Carroll County,12196
119, AR,Chicot County,3052
120, AR,Clark County,9432
121, AR,Clay County,5348
122, AR,Cleburne County,8660
123, AR,Cleveland County,3128
124, AR,Columbia County,8799
125, AR,Conway County,7990
126, AR,Craighead County,53852
127, AR,Crawford County,25807
128, AR,Crittenden County,20819
129, AR,Cross County,7086
130, AR,Dallas County,2724
131, AR,Desha County,5184
132, AR,Drew County,7558
133, AR,Faulkner County,60144
134, AR,Franklin County,7205
135, AR,Fulton County,4766
136, AR,Garland County,39148
137, AR,Grant County,8164
138, AR,Greene County,19278
139, AR,Hempstead County,9482
140, AR,Hot Spring County,13500
141, AR,Howard County,5566
142, AR,Independence County,15938
143, AR,Izard County,4624
144, AR,Jackson County,5480
145, AR,Jefferson County,26185
146, AR,Johnson County,9855
147, AR,Lafayette County,2356
148, AR,Lawrence County,6587
149, AR,Lee County,2719
150, AR,Lincoln County,3812
151, AR,Little River County,5263
152, AR,Logan County,8161
153, AR,Lonoke County,33152
154, AR,Madison County,7464
155, AR,Marion County,6313
156, AR,Miller County,18984
157, AR,Mississippi County,16475
158, AR,Monroe County,2637
159, AR,Montgomery County,2766
160, AR,Nevada County,3455
161, AR,Newton County,3229
162, AR,Ouachita County,9326
163, AR,Perry County,4113
164, AR,Phillips County,5970
165, AR,Pike County,4066
166, AR,Poinsett County,10125
167, AR,Polk County,7819
168, AR,Pope County,27728
169, AR,Prairie County,3468
170, AR,Pulaski County,184784
171, AR,Randolph County,7075
172, AR,St. Francis County,7734
173, AR,Saline County,56579
174, AR,Scott County,4187
175, AR,Searcy County,2674
176, AR,Sebastian County,54816
177, AR,Sevier County,5281
178, AR,Sharp County,5393
179, AR,Stone County,4414
180, AR,Union County,14954
181, AR,Van Buren County,5366
182, AR,Washington County,123986
183, AR,White County,32470
184, AR,Woodruff County,2659
185, AR,Yell County,8161
186, CA,Alameda County,837109
187, CA,Alpine County,585
188, CA,Amador County,14268
189, CA,Butte County,98350
190, CA,Calaveras County,20753
191, CA,Colusa County,9138
192, CA,Contra Costa County,555626
193, CA,Del Norte County,9148
194, CA,El Dorado County,89463
195, CA,Fresno County,421616
196, CA,Glenn County,12228
197, CA,Humboldt County,61770
198, CA,Imperial County,59488
199, CA,Inyo County,8368
200, CA,Kern County,357668
201, CA,Kings County,53843
202, CA,Lake County,27651
203, CA,Lassen County,9293
204, CA,Los Angeles County,4986726
205, CA,Madera County,57621
206, CA,Marin County,140172
207, CA,Mariposa County,6615
208, CA,Mendocino County,37577
209, CA,Merced County,106464
210, CA,Modoc County,2825
211, CA,Mono County,9074
212, CA,Monterey County,199143
213, CA,Napa County,70715
214, CA,Nevada County,47256
215, CA,Orange County,1593503
216, CA,Placer County,182019
217, CA,Plumas County,6883
218, CA,Riverside County,1070423
219, CA,Sacramento County,693988
220, CA,San Benito County,29644
221, CA,San Bernardino County,946496
222, CA,San Diego County,1569425
223, CA,San Francisco County/city,580382
224, CA,San Joaquin County,306552
225, CA,San Luis Obispo County,136578
226, CA,San Mateo County,458894
227, CA,Santa Barbara County,208046
228, CA,Santa Clara County,1050644
229, CA,Santa Cruz County,133104
230, CA,Shasta County,70412
231, CA,Sierra County,1245
232, CA,Siskiyou County,16052
233, CA,Solano County,200674
234, CA,Sonoma County,256370
235, CA,Stanislaus County,228260
236, CA,Sutter County,42411
237, CA,Tehama County,24247
238, CA,Trinity County,4310
239, CA,Tulare County,184685
240, CA,Tuolumne County,20750
241, CA,Ventura County,409558
242, CA,Yolo County,105222
243, CA,Yuba County,27960
244, CO,Adams County,269926
245, CO,Alamosa County,8414
246, CO,Arapahoe County,362528
247, CO,Archuleta County,6791
248, CO,Baca County,2331
249, CO,Bent County,2102
250, CO,Boulder County,195832
251, CO,Broomfield County/city,40013
252, CO,Chaffee County,9379
253, CO,Cheyenne County,1188
254, CO,Clear Creek County,6082
255, CO,Conejos County,4122
256, CO,Costilla County,1883
257, CO,Crowley County,1513
258, CO,Custer County,2013
259, CO,Delta County,14555
260, CO,Denver County/city,412910
261, CO,Dolores County,1240
262, CO,Douglas County,192047
263, CO,Eagle County,37822
264, CO,Elbert County,15167
265, CO,El Paso County,338203
266, CO,Fremont County,14270
267, CO,Garfield County,32968
268, CO,Gilpin County,3746
269, CO,Grand County,10255
270, CO,Gunnison County,10935
271, CO,Hinsdale County,367
272, CO,Huerfano County,2449
273, CO,Jackson County,1054
274, CO,Jefferson County,334661
275, CO,Kiowa County,1003
276, CO,Kit Carson County,4572
277, CO,Lake County,5155
278, CO,La Plata County,30644
279, CO,Larimer County,205316
280, CO,Las Animas County,6417
281, CO,Lincoln County,2598
282, CO,Logan County,11109
283, CO,Mesa County,74984
284, CO,Mineral County,597
285, CO,Moffat County,7565
286, CO,Montezuma County,12565
287, CO,Montrose County,22008
288, CO,Morgan County,16942
289, CO,Otero County,8539
290, CO,Ouray County,2218
291, CO,Park County,10842
292, CO,Phillips County,2869
293, CO,Pitkin County,11373
294, CO,Prowers County,6381
295, CO,Pueblo County,73421
296, CO,Rio Blanco County,2705
297, CO,Rio Grande County,5674
298, CO,Routt County,17143
299, CO,Saguache County,3679
300, CO,San Juan County,411
301, CO,San Miguel County,5739
302, CO,Sedgwick County,1313
303, CO,Summit County,23640
304, CO,Teller County,12631
305, CO,Washington County,3566
306, CO,Weld County,168213
307, CO,Yuma County,7433
308, CT,Fairfield County,470162
309, CT,Hartford County,467794
310, CT,Litchfield County,102144
311, CT,Middlesex County,91286
312, CT,New Haven County,447056
313, CT,New London County,132457
314, CT,Tolland County,84775
315, CT,Windham County,61265
316, DE,Kent County,77000
317, DE,New Castle County,297002
318, DE,Sussex County,101060
319,District of Columbia,District of Columbia,393853
320, FL,Alachua County,135233
321, FL,Baker County,11863
322, FL,Bay County,82202
323, FL,Bradford County,11137
324, FL,Brevard County,275387
325, FL,Broward County,1023100
326, FL,Calhoun County,4892
327, FL,Charlotte County,71118
328, FL,Citrus County,45797
329, FL,Clay County,106296
330, FL,Collier County,180722
331, FL,Columbia County,29427
332, FL,DeSoto County,14443
333, FL,Dixie County,5678
334, FL,Duval County,486534
335, FL,Escambia County,142389
336, FL,Flagler County,46993
337, FL,Franklin County,4643
338, FL,Gadsden County,18155
339, FL,Gilchrist County,6691
340, FL,Glades County,5580
341, FL,Gulf County,5605
342, FL,Hamilton County,4081
343, FL,Hardee County,8375
344, FL,Hendry County,15552
345, FL,Hernando County,68995
346, FL,Highlands County,35162
347, FL,Hillsborough County,730614
348, FL,Holmes County,6762
349, FL,Indian River County,65892
350, FL,Jackson County,17100
351, FL,Jefferson County,5559
352, FL,Lafayette County,2718
353, FL,Lake County,156657
354, FL,Lee County,348014
355, FL,Leon County,154698
356, FL,Levy County,16507
357, FL,Liberty County,2547
358, FL,Madison County,7157
359, FL,Manatee County,176634
360, FL,Marion County,133112
361, FL,Martin County,73855
362, FL,Miami-Dade County,1400943
363, FL,Monroe County,46354
364, FL,Nassau County,39897
365, FL,Okaloosa County,93615
366, FL,Okeechobee County,17910
367, FL,Orange County,759452
368, FL,Osceola County,179426
369, FL,Palm Beach County,721118
370, FL,Pasco County,228688
371, FL,Pinellas County,489161
372, FL,Polk County,295261
373, FL,Putnam County,26578
374, FL,St. Johns County,127860
375, FL,St. Lucie County,140679
376, FL,Santa Rosa County,79085
377, FL,Sarasota County,185978
378, FL,Seminole County,257276
379, FL,Sumter County,30630
380, FL,Suwannee County,17729
381, FL,Taylor County,8266
382, FL,Union County,4699
383, FL,Volusia County,249298
384, FL,Wakulla County,14918
385, FL,Walton County,29765
386, FL,Washington County,9657
387, GA,Appling County,9073
388, GA,Atkinson County,4529
389, GA,Bacon County,4675
390, GA,Baker County,1154
391, GA,Baldwin County,16670
392, GA,Banks County,9503
393, GA,Barrow County,39409
394, GA,Bartow County,49512
395, GA,Ben Hill County,5021
396, GA,Berrien County,7172
397, GA,Bibb County,66675
398, GA,Bleckley County,4272
399, GA,Brantley County,6981
400, GA,Brooks County,6792
401, GA,Bryan County,17300
402, GA,Bulloch County,34912
403, GA,Burke County,8882
404, GA,Butts County,10591
405, GA,Calhoun County,2198
406, GA,Camden County,20178
407, GA,Candler County,5376
408, GA,Carroll County,54476
409, GA,Catoosa County,32279
410, GA,Charlton County,4638
411, GA,Chatham County,136185
412, GA,Chattahoochee County,1866
413, GA,Chattooga County,9767
414, GA,Cherokee County,131909
415, GA,Clarke County,59837
416, GA,Clay County,810
417, GA,Clayton County,133451
418, GA,Clinch County,2417
419, GA,Cobb County,422469
420, GA,Coffee County,18112
421, GA,Colquitt County,20467
422, GA,Columbia County,72851
423, GA,Cook County,7759
424, GA,Coweta County,72904
425, GA,Crawford County,5507
426, GA,Crisp County,9051
427, GA,Dade County,7954
428, GA,Dawson County,11882
429, GA,Decatur County,11091
430, GA,DeKalb County,394090
431, GA,Dodge County,6617
432, GA,Dooly County,4917
433, GA,Dougherty County,36621
434, GA,Douglas County,71751
435, GA,Early County,4270
436, GA,Echols County,1851
437, GA,Effingham County,29069
438, GA,Elbert County,7385
439, GA,Emanuel County,7845
440, GA,Evans County,4714
441, GA,Fannin County,10963
442, GA,Fayette County,57290
443, GA,Floyd County,43392
444, GA,Forsyth County,117319
445, GA,Franklin County,9499
446, GA,Fulton County,546981
447, GA,Gilmer County,11363
448, GA,Glascock County,1232
449, GA,Glynn County,38904
450, GA,Gordon County,27204
451, GA,Grady County,10013
452, GA,Greene County,6547
453, GA,Gwinnett County,482760
454, GA,Habersham County,18474
455, GA,Hall County,102933
456, GA,Hancock County,2357
457, GA,Haralson County,12314
458, GA,Harris County,16021
459, GA,Hart County,10498
460, GA,Heard County,5129
461, GA,Henry County,112358
462, GA,Houston County,68424
463, GA,Irwin County,3179
464, GA,Jackson County,36778
465, GA,Jasper County,6840
466, GA,Jeff Davis County,5691
467, GA,Jefferson County,6324
468, GA,Jenkins County,2962
469, GA,Johnson County,3873
470, GA,Jones County,13476
471, GA,Lamar County,7929
472, GA,Lanier County,3715
473, GA,Laurens County,18064
474, GA,Lee County,14437
475, GA,Liberty County,24883
476, GA,Lincoln County,3449
477, GA,Long County,7763
478, GA,Lowndes County,50406
479, GA,Lumpkin County,16396
480, GA,McDuffie County,8550
481, GA,McIntosh County,5957
482, GA,Macon County,4459
483, GA,Madison County,13334
484, GA,Marion County,3225
485, GA,Meriwether County,8689
486, GA,Miller County,2647
487, GA,Mitchell County,8120
488, GA,Monroe County,12632
489, GA,Montgomery County,3530
490, GA,Morgan County,8904
491, GA,Murray County,15175
492, GA,Muscogee County,74741
493, GA,Newton County,50800
494, GA,Oconee County,19293
495, GA,Oglethorpe County,6938
496, GA,Paulding County,83219
497, GA,Peach County,11421
498, GA,Pickens County,15017
499, GA,Pierce County,8327
500, GA,Pike County,8631
501, GA,Polk County,17862
502, GA,Pulaski County,3995
503, GA,Putnam County,7842
504, GA,Quitman County,756
505, GA,Rabun County,6665
506, GA,Randolph County,2412
507, GA,Richmond County,82991
508, GA,Rockdale County,44040
509, GA,Schley County,2124
510, GA,Screven County,4770
511, GA,Seminole County,2852
512, GA,Spalding County,27926
513, GA,Stephens County,10167
514, GA,Stewart County,2312
515, GA,Sumter County,12237
516, GA,Talbot County,2691
517, GA,Taliaferro County,542
518, GA,Tattnall County,9122
519, GA,Taylor County,3047
520, GA,Telfair County,3567
521, GA,Terrell County,3447
522, GA,Thomas County,15653
523, GA,Tift County,19203
524, GA,Toombs County,11069
525, GA,Towns County,3557
526, GA,Treutlen County,2426
527, GA,Troup County,36362
528, GA,Turner County,3008
529, GA,Twiggs County,2788
530, GA,Union County,9851
531, GA,Upson County,10974
532, GA,Walker County,30196
533, GA,Walton County,44846
534, GA,Ware County,15013
535, GA,Warren County,2692
536, GA,Washington County,6672
537, GA,Wayne County,10828
538, GA,Webster County,976
539, GA,Wheeler County,1467
540, GA,White County,16093
541, GA,Whitfield County,43363
542, GA,Wilcox County,2546
543, GA,Wilkes County,3630
544, GA,Wilkinson County,3841
545, GA,Worth County,8819
546, HI,Hawaii County,85447
547, HI,Honolulu County/city,451075
548, HI,Kauai County,34119
549, HI,Maui County,82791
550, ID,Ada County,251077
551, ID,Adams County,1568
552, ID,Bannock County,42610
553, ID,Bear Lake County,2820
554, ID,Benewah County,3801
555, ID,Bingham County,22924
556, ID,Blaine County,12341
557, ID,Boise County,3351
558, ID,Bonner County,19326
559, ID,Bonneville County,57862
560, ID,Boundary County,5098
561, ID,Butte County,1399
562, ID,Camas County,671
563, ID,Canyon County,101255
564, ID,Caribou County,3927
565, ID,Cassia County,11833
566, ID,Clark County,363
567, ID,Clearwater County,2660
568, ID,Custer County,1964
