time,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time_x,EarnBeg,EarnHirAS,EarnHirNS,EarnS,EarnSepS,Emp,EmpEnd,EmpS,EmpSpv,EmpTotal,FrmJbC,FrmJbCS,FrmJbGn,FrmJbGnS,FrmJbLs,FrmJbLsS,HirA,HirAEnd,HirAEndR,HirAEndRepl,HirAEndReplr,HirAs,Payroll,Unnamed: 0.1,county,county_codes,county_name,state,state_abv,time_y
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99011.0,Broward County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99021.0,Collier County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99025.0,Dade County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99043.0,Glades County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99051.0,Hendry County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99071.0,Lee County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99085.0,Martin County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99087.0,Monroe County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99099.0,Palm Beach County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-09-14,209.0,No,Yes,Yes,Yes,FL,9/14/1965,DR,Hurricane,HURRICANE BETSY,1965-09-14,1965-09-14,99111.0,St. Lucie County,65035.0,0 days 00:00:00.000000000,1965-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99015.0,Charlotte County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99017.0,Citrus County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99031.0,Duval County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99053.0,Hernando County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99057.0,Hillsborough County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99071.0,Lee County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99081.0,Manatee County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99083.0,Marion County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99101.0,Pasco County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99103.0,Pinellas County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99107.0,Putnam County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99109.0,St. Johns County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99115.0,Sarasota County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-11-07,252.0,No,Yes,Yes,Yes,FL,11/7/1968,DR,Hurricane,HURRICANE GLADYS,1968-11-07,1968-11-07,99119.0,Sumter County,68022.0,0 days 00:00:00.000000000,1968-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,600.0,No,Yes,Yes,Yes,FL,9/13/1979,DR,Hurricane,HURRICANE FREDERIC,1979-09-13,1979-09-13,99005.0,Bay County,79076.0,0 days 00:00:00.000000000,1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,600.0,No,Yes,Yes,Yes,FL,9/13/1979,DR,Hurricane,HURRICANE FREDERIC,1979-09-13,1979-09-13,99033.0,Escambia County,79076.0,0 days 00:00:00.000000000,1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,600.0,No,Yes,Yes,Yes,FL,9/13/1979,DR,Hurricane,HURRICANE FREDERIC,1979-09-13,1979-09-13,99091.0,Okaloosa County,79076.0,0 days 00:00:00.000000000,1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,600.0,No,Yes,Yes,Yes,FL,9/13/1979,DR,Hurricane,HURRICANE FREDERIC,1979-09-13,1979-09-13,99113.0,Santa Rosa County,79076.0,0 days 00:00:00.000000000,1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-13,600.0,No,Yes,Yes,Yes,FL,9/13/1979,DR,Hurricane,HURRICANE FREDERIC,1979-09-13,1979-09-13,99131.0,Walton County,79076.0,0 days 00:00:00.000000000,1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99029.0,Dixie County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99037.0,Franklin County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99057.0,Hillsborough County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99075.0,Levy County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99081.0,Manatee County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99103.0,Pinellas County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-29,743.0,No,Yes,Yes,Yes,FL,9/12/1985,DR,Hurricane,HURRICANE ELENA,1985-08-29,1985-09-02,99129.0,Wakulla County,85053.0,4 days 00:00:00.000000000,1985-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99013.0,Calhoun County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99037.0,Franklin County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99039.0,Gadsden County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99045.0,Gulf County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99065.0,Jefferson County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99073.0,Leon County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-21,756.0,No,Yes,Yes,Yes,FL,12/3/1985,DR,Hurricane,HURRICANE KATE,1985-11-21,1985-11-22,99077.0,Liberty County,85075.0,1 days 00:00:00.000000000,1985-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
