,Title,Incident Duration Days,county,tot_income,population
0,HURRICANE IRMA,44,alachua,268350,18819
1,HURRICANE IRMA,44,baker,169202,7214
2,HURRICANE IRMA,44,bay,442499,23380
3,HURRICANE IRMA,44,bradford,28784,2004
4,HURRICANE IRMA,44,brevard,275161,10388
5,HURRICANE IRMA,44,broward,359369,16526
6,HURRICANE IRMA,44,calhoun,69725,5251
7,HURRICANE IRMA,44,charlotte,633196,29254
8,HURRICANE IRMA,44,citrus,178970,9522
9,HURRICANE IRMA,44,clay,1143458,29247
10,HURRICANE IRMA,44,collier,2834303,11191
11,HURRICANE IRMA,44,columbia,378188,19442
12,HURRICANE IRMA,44,desoto,15690,426
13,HURRICANE IRMA,44,dixie,32410,1438
14,HURRICANE IRMA,44,duval,1060898,39378
15,HURRICANE IRMA,44,escambia,231235,11571
16,HURRICANE IRMA,44,flagler,1065819,21976
17,HURRICANE IRMA,44,franklin,56173,3637
18,HURRICANE IRMA,44,gadsden,66848,4626
19,HURRICANE IRMA,44,gilchrist,90021,5144
20,HURRICANE IRMA,44,glades,77237,7729
21,HURRICANE IRMA,44,gulf,222304,7713
22,HURRICANE IRMA,44,hamilton,92260,9575
23,HURRICANE IRMA,44,hardee,72651,7981
24,HURRICANE IRMA,44,hendry,364720,20048
25,HURRICANE IRMA,44,hernando,302399,17736
26,HURRICANE IRMA,44,highlands,338918,26187
27,HURRICANE IRMA,44,hillsborough,9995,98
28,HURRICANE IRMA,44,holmes,190045,14000
29,HURRICANE IRMA,44,indian river,100599,7733
30,HURRICANE IRMA,44,jackson,39379,1843
31,HURRICANE IRMA,44,jefferson,1275623,31352
32,HURRICANE IRMA,44,lafayette,90021,5144
33,HURRICANE IRMA,44,lake,42524,2188
34,HURRICANE IRMA,44,lee,537231,20108
35,HURRICANE IRMA,44,leon,546900,29860
36,HURRICANE IRMA,44,levy,148060,7775
37,HURRICANE IRMA,44,liberty,79652,6083
38,HURRICANE IRMA,44,madison,44980,2622
39,HURRICANE IRMA,44,manatee,538817,25698
40,HURRICANE IRMA,44,marion,93766,5266
41,HURRICANE IRMA,44,martin,15871,384
42,HURRICANE IRMA,44,miami-dade,560041,47581
43,HURRICANE IRMA,44,monroe,11151,192
44,HURRICANE IRMA,44,nassau,82188,3481
45,HURRICANE IRMA,44,okaloosa,140263,5490
46,HURRICANE IRMA,44,okeechobee,263661,20053
47,HURRICANE IRMA,44,orange,1013863,49218
48,HURRICANE IRMA,44,osceola,1229763,53657
49,HURRICANE IRMA,44,palm beach,1852787,26501
50,HURRICANE IRMA,44,pasco,302399,17736
51,HURRICANE IRMA,44,pinellas,1625068,29178
52,HURRICANE IRMA,44,polk,1098818,24084
53,HURRICANE IRMA,44,putnam,1019886,24908
54,HURRICANE IRMA,44,st. johns,123240,4587
55,HURRICANE IRMA,44,st. lucie,3103187,14591
56,HURRICANE IRMA,44,santa rosa,10802,0
57,HURRICANE IRMA,44,sarasota,641828,16667
58,HURRICANE IRMA,44,seminole,542529,22069
59,HURRICANE IRMA,44,sumter,751127,30570
60,HURRICANE IRMA,44,suwannee,90021,5144
61,HURRICANE IRMA,44,taylor,64248,4292
62,HURRICANE IRMA,44,union,185008,11669
63,HURRICANE IRMA,44,volusia,42524,2188
64,HURRICANE IRMA,44,wakulla,557417,27616
65,HURRICANE IRMA,44,walton,480632,14022
66,HURRICANE IRMA,44,washington,39379,1843
