,county,median_income
0,Alabama,49861
1,Alaska,74346
2,Arizona,59246
3,Arkansas,47062
4,California,75277
5,Colorado,71953
6,Connecticut,76348
7,Delaware,64805
8,District of Columbia,85203
9,Florida,55462
10,Georgia,58756
11,Hawaii,80212
12,Idaho,55583
13,Illinois,65030
14,Indiana,55746
15,Iowa,59955
16,Kansas,58218
17,Kentucky,50247
18,Louisiana,47905
19,Maine,55602
20,Maryland,83242
21,Massachusetts,79835
22,Michigan,56697
23,Minnesota,70315
24,Mississippi,44717
25,Missouri,54478
26,Montana,55328
27,Nebraska,59566
28,Nevada,58646
29,New Hampshire,74991
30,New Jersey,81740
31,New Mexico,47169
32,New York,67844
33,North Carolina,53855
34,North Dakota,63837
35,Ohio,56111
36,Oklahoma,51924
37,Oregon,63426
38,Pennsylvania,60905
39,Puerto Rico,20296
40,Rhode Island,64340
41,South Carolina,52306
42,South Dakota,56274
43,Tennessee,52375
44,Texas,60629
45,Utah,71414
46,Vermont,60782
47,Virginia,72577
48,Washington,74073
49,West Virginia,44097
50,Wisconsin,60773
51,Wyoming,61584
