,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time
212,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99005.0,Bay (County),18115.0,12 days 00:00:00.000000000,2018Q4
213,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99013.0,Calhoun (County),18115.0,12 days 00:00:00.000000000,2018Q4
214,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99037.0,Franklin (County),18115.0,12 days 00:00:00.000000000,2018Q4
215,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99039.0,Gadsden (County),18115.0,12 days 00:00:00.000000000,2018Q4
216,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99045.0,Gulf (County),18115.0,12 days 00:00:00.000000000,2018Q4
217,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99047.0,Hamilton (County),18115.0,12 days 00:00:00.000000000,2018Q4
218,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99059.0,Holmes (County),18115.0,12 days 00:00:00.000000000,2018Q4
219,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99063.0,Jackson (County),18115.0,12 days 00:00:00.000000000,2018Q4
220,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99065.0,Jefferson (County),18115.0,12 days 00:00:00.000000000,2018Q4
221,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99073.0,Leon (County),18115.0,12 days 00:00:00.000000000,2018Q4
222,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99077.0,Liberty (County),18115.0,12 days 00:00:00.000000000,2018Q4
223,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99079.0,Madison (County),18115.0,12 days 00:00:00.000000000,2018Q4
224,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99091.0,Okaloosa (County),18115.0,12 days 00:00:00.000000000,2018Q4
225,4399.0,Yes,No,Yes,Yes,FL,10/11/2018,DR,Hurricane,HURRICANE MICHAEL,2018-10-07,2018-10-19,99121.0,Suwannee (County),18115.0,12 days 00:00:00.000000000,2018Q4
