State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Florida,1/2/99,"4,576",12/26/98,"71,429","6,342,395",1.13
Florida,1/9/99,"9,643",1/2/99,"68,393","6,394,163",1.07
Florida,1/16/99,"9,434",1/9/99,"71,774","6,394,163",1.12
Florida,1/23/99,"7,585",1/16/99,"70,196","6,394,163",1.1
Florida,1/30/99,"8,099",1/23/99,"73,250","6,394,163",1.15
Florida,2/6/99,"7,345",1/30/99,"70,683","6,394,163",1.11
Florida,2/13/99,"7,267",2/6/99,"73,503","6,394,163",1.15
Florida,2/20/99,"6,510",2/13/99,"70,160","6,394,163",1.1
Florida,2/27/99,"6,729",2/20/99,"73,036","6,394,163",1.14
Florida,3/6/99,"6,773",2/27/99,"70,651","6,394,163",1.1
Florida,3/13/99,"6,764",3/6/99,"70,541","6,394,163",1.1
Florida,3/20/99,"6,198",3/13/99,"71,346","6,394,163",1.12
Florida,3/27/99,"6,119",3/20/99,"68,768","6,394,163",1.08
Florida,4/3/99,"6,495",3/27/99,"67,846","6,394,163",1.06
Florida,4/10/99,"8,473",4/3/99,"67,995","6,450,324",1.05
Florida,4/17/99,"7,057",4/10/99,"65,679","6,450,324",1.02
Florida,4/24/99,"6,465",4/17/99,"70,097","6,450,324",1.09
Florida,5/1/99,"6,627",4/24/99,"64,065","6,450,324",0.99
Florida,5/8/99,"8,084",5/1/99,"69,398","6,450,324",1.08
Florida,5/15/99,"7,601",5/8/99,"64,863","6,450,324",1.01
Florida,5/22/99,"8,247",5/15/99,"70,521","6,450,324",1.09
Florida,5/29/99,"8,080",5/22/99,"66,471","6,450,324",1.03
Florida,6/5/99,"7,541",5/29/99,"71,016","6,450,324",1.1
Florida,6/12/99,"9,832",6/5/99,"71,113","6,450,324",1.1
Florida,6/19/99,"9,144",6/12/99,"76,768","6,450,324",1.19
Florida,6/26/99,"9,130",6/19/99,"75,211","6,450,324",1.17
Florida,7/3/99,"7,958",6/26/99,"79,812","6,450,324",1.24
Florida,7/10/99,"8,061",7/3/99,"76,365","6,518,664",1.17
Florida,7/17/99,"9,650",7/10/99,"81,663","6,518,664",1.25
Florida,7/24/99,"8,676",7/17/99,"86,848","6,518,664",1.33
Florida,7/31/99,"8,222",7/24/99,"83,605","6,518,664",1.28
Florida,8/7/99,"7,605",7/31/99,"88,904","6,518,664",1.36
Florida,8/14/99,"7,642",8/7/99,"82,937","6,518,664",1.27
Florida,8/21/99,"7,093",8/14/99,"87,147","6,518,664",1.34
Florida,8/28/99,"6,531",8/21/99,"83,085","6,518,664",1.27
Florida,9/4/99,"7,028",8/28/99,"85,058","6,518,664",1.3
Florida,9/11/99,"5,767",9/4/99,"78,757","6,518,664",1.21
Florida,9/18/99,"5,165",9/11/99,"82,934","6,518,664",1.27
Florida,9/25/99,"5,862",9/18/99,"79,088","6,518,664",1.21
Florida,10/2/99,"6,324",9/25/99,"80,413","6,518,664",1.23
Florida,10/9/99,"7,252",10/2/99,"74,825","6,572,962",1.14
Florida,10/16/99,"6,275",10/9/99,"74,844","6,572,962",1.14
Florida,10/23/99,"6,952",10/16/99,"74,644","6,572,962",1.14
Florida,10/30/99,"6,476",10/23/99,"71,906","6,572,962",1.09
Florida,11/6/99,"6,818",10/30/99,"72,690","6,572,962",1.11
Florida,11/13/99,"5,494",11/6/99,"64,433","6,572,962",0.98
Florida,11/20/99,"6,537",11/13/99,"70,093","6,572,962",1.07
Florida,11/27/99,"4,546",11/20/99,"57,281","6,572,962",0.87
Florida,12/4/99,"6,359",11/27/99,"73,037","6,572,962",1.11
Florida,12/11/99,"6,718",12/4/99,"61,892","6,572,962",0.94
