State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Florida,1/2/16,"6,816",12/26/15,"54,140","7,693,156",0.7
Florida,1/9/16,"11,056",1/2/16,"49,557","7,761,275",0.64
Florida,1/16/16,"9,775",1/9/16,"51,100","7,761,275",0.66
Florida,1/23/16,"8,225",1/16/16,"51,767","7,761,275",0.67
Florida,1/30/16,"8,069",1/23/16,"52,301","7,761,275",0.67
Florida,2/6/16,"8,488",1/30/16,"52,128","7,761,275",0.67
Florida,2/13/16,"7,062",2/6/16,"49,671","7,761,275",0.64
Florida,2/20/16,"7,318",2/13/16,"51,001","7,761,275",0.66
Florida,2/27/16,"6,923",2/20/16,"49,134","7,761,275",0.63
Florida,3/5/16,"7,376",2/27/16,"49,270","7,761,275",0.63
Florida,3/12/16,"6,524",3/5/16,"47,624","7,761,275",0.61
Florida,3/19/16,"6,866",3/12/16,"48,415","7,761,275",0.62
Florida,3/26/16,"6,951",3/19/16,"46,017","7,761,275",0.59
Florida,4/2/16,"7,235",3/26/16,"48,089","7,761,275",0.62
Florida,4/9/16,"8,729",4/2/16,"45,623","7,830,128",0.58
Florida,4/16/16,"7,376",4/9/16,"47,008","7,830,128",0.6
Florida,4/23/16,"7,312",4/16/16,"47,643","7,830,128",0.61
Florida,4/30/16,"7,360",4/23/16,"45,817","7,830,128",0.59
Florida,5/7/16,"8,263",4/30/16,"45,454","7,830,128",0.58
Florida,5/14/16,"8,049",5/7/16,"45,140","7,830,128",0.58
Florida,5/21/16,"8,071",5/14/16,"46,839","7,830,128",0.6
Florida,5/28/16,"8,315",5/21/16,"46,066","7,830,128",0.59
Florida,6/4/16,"8,259",5/28/16,"47,508","7,830,128",0.61
Florida,6/11/16,"10,028",6/4/16,"48,376","7,830,128",0.62
Florida,6/18/16,"10,155",6/11/16,"49,952","7,830,128",0.64
Florida,6/25/16,"9,048",6/18/16,"52,223","7,830,128",0.67
