State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Florida,1/7/17,"9,011",12/31/16,"42,896","7,976,479",0.54
Florida,1/14/17,"8,729",1/7/17,"43,260","8,044,896",0.54
Florida,1/21/17,"7,392",1/14/17,"44,993","8,044,896",0.56
Florida,1/28/17,"8,133",1/21/17,"44,812","8,044,896",0.56
Florida,2/4/17,"7,822",1/28/17,"44,138","8,044,896",0.55
Florida,2/11/17,"7,506",2/4/17,"44,433","8,044,896",0.55
Florida,2/18/17,"6,881",2/11/17,"43,579","8,044,896",0.54
Florida,2/25/17,"6,323",2/18/17,"42,822","8,044,896",0.53
Florida,3/4/17,"6,354",2/25/17,"41,807","8,044,896",0.52
Florida,3/11/17,"7,180",3/4/17,"41,136","8,044,896",0.51
Florida,3/18/17,"6,802",3/11/17,"40,928","8,044,896",0.51
Florida,3/25/17,"6,692",3/18/17,"40,479","8,044,896",0.5
Florida,4/1/17,"6,981",3/25/17,"41,521","8,044,896",0.52
Florida,4/8/17,"8,564",4/1/17,"39,845","8,116,175",0.49
Florida,4/15/17,"6,839",4/8/17,"39,972","8,116,175",0.49
Florida,4/22/17,"6,886",4/15/17,"42,905","8,116,175",0.53
Florida,4/29/17,"6,952",4/22/17,"40,858","8,116,175",0.5
Florida,5/6/17,"8,028",4/29/17,"42,769","8,116,175",0.53
Florida,5/13/17,"7,660",5/6/17,"40,873","8,116,175",0.5
Florida,5/20/17,"7,686",5/13/17,"43,667","8,116,175",0.54
Florida,5/27/17,"7,586",5/20/17,"42,218","8,116,175",0.52
Florida,6/3/17,"8,140",5/27/17,"44,398","8,116,175",0.55
Florida,6/10/17,"10,538",6/3/17,"43,777","8,116,175",0.54
Florida,6/17/17,"8,938",6/10/17,"46,938","8,116,175",0.58
Florida,6/24/17,"8,299",6/17/17,"49,439","8,116,175",0.61
Florida,7/1/17,"8,350",6/24/17,"51,966","8,116,175",0.64
Florida,7/8/17,"8,904",7/1/17,"49,132","8,172,841",0.6
Florida,7/15/17,"8,849",7/8/17,"52,807","8,172,841",0.65
Florida,7/22/17,"8,406",7/15/17,"53,192","8,172,841",0.65
Florida,7/29/17,"7,481",7/22/17,"54,325","8,172,841",0.66
