State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Louisiana,1/3/04,"3,341",12/27/03,"36,274","1,811,908",2
Louisiana,1/10/04,"4,764",1/3/04,"36,945","1,812,242",2.04
Louisiana,1/17/04,"4,329",1/10/04,"37,790","1,812,242",2.09
Louisiana,1/24/04,"3,481",1/17/04,"36,804","1,812,242",2.03
Louisiana,1/31/04,"3,420",1/24/04,"36,104","1,812,242",1.99
Louisiana,2/7/04,"3,718",1/31/04,"35,177","1,812,242",1.94
Louisiana,2/14/04,"3,792",2/7/04,"35,175","1,812,242",1.94
Louisiana,2/21/04,"3,242",2/14/04,"34,907","1,812,242",1.93
Louisiana,2/28/04,"3,152",2/21/04,"33,929","1,812,242",1.87
Louisiana,3/6/04,"3,663",2/28/04,"33,974","1,812,242",1.87
Louisiana,3/13/04,"3,359",3/6/04,"33,452","1,812,242",1.85
Louisiana,3/20/04,"3,357",3/13/04,"32,478","1,812,242",1.79
Louisiana,3/27/04,"3,259",3/20/04,"31,998","1,812,242",1.77
Louisiana,4/3/04,"4,003",3/27/04,"31,652","1,812,242",1.75
Louisiana,4/10/04,"4,503",4/3/04,"31,447","1,812,406",1.74
Louisiana,4/17/04,"4,458",4/10/04,"33,266","1,812,406",1.84
Louisiana,4/24/04,"3,875",4/17/04,"33,933","1,812,406",1.87
Louisiana,5/1/04,"3,628",4/24/04,"33,579","1,812,406",1.85
Louisiana,5/8/04,"3,758",5/1/04,"33,626","1,812,406",1.86
Louisiana,5/15/04,"3,985",5/8/04,"33,516","1,812,406",1.85
Louisiana,5/22/04,"4,361",5/15/04,"33,964","1,812,406",1.87
Louisiana,5/29/04,"4,385",5/22/04,"34,534","1,812,406",1.91
Louisiana,6/5/04,"5,440",5/29/04,"35,006","1,812,406",1.93
Louisiana,6/12/04,"4,253",6/5/04,"37,126","1,812,406",2.05
Louisiana,6/19/04,"3,762",6/12/04,"37,728","1,812,406",2.08
Louisiana,6/26/04,"3,569",6/19/04,"37,674","1,812,406",2.08
