State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
New Jersey,1/7/12,"19,145",12/31/11,"156,027","3,674,492",4.25
New Jersey,1/14/12,"16,745",1/7/12,"156,920","3,673,299",4.27
New Jersey,1/21/12,"12,452",1/14/12,"156,620","3,673,299",4.26
New Jersey,1/28/12,"12,713",1/21/12,"157,418","3,673,299",4.29
New Jersey,2/4/12,"11,447",1/28/12,"160,997","3,673,299",4.38
New Jersey,2/11/12,"10,701",2/4/12,"157,487","3,673,299",4.29
New Jersey,2/18/12,"9,604",2/11/12,"159,764","3,673,299",4.35
New Jersey,2/25/12,"10,878",2/18/12,"155,824","3,673,299",4.24
New Jersey,3/3/12,"9,844",2/25/12,"162,005","3,673,299",4.41
New Jersey,3/10/12,"9,601",3/3/12,"156,153","3,673,299",4.25
New Jersey,3/17/12,"9,433",3/10/12,"154,401","3,673,299",4.2
New Jersey,3/24/12,"7,922",3/17/12,"148,789","3,673,299",4.05
New Jersey,3/31/12,"8,641",3/24/12,"148,098","3,673,299",4.03
New Jersey,4/7/12,"14,376",3/31/12,"138,763","3,673,299",3.78
New Jersey,4/14/12,"15,521",4/7/12,"138,607","3,677,916",3.77
New Jersey,4/21/12,"9,773",4/14/12,"144,438","3,677,916",3.93
New Jersey,4/28/12,"8,572",4/21/12,"131,567","3,677,916",3.58
New Jersey,5/5/12,"9,667",4/28/12,"128,850","3,677,916",3.5
New Jersey,5/12/12,"8,800",5/5/12,"124,913","3,677,916",3.4
New Jersey,5/19/12,"8,628",5/12/12,"122,458","3,677,337",3.33
New Jersey,5/26/12,"8,698",5/19/12,"121,868","3,677,916",3.31
New Jersey,6/2/12,"8,288",5/26/12,"121,680","3,677,916",3.31
New Jersey,6/9/12,"9,037",6/2/12,"121,738","3,677,337",3.31
New Jersey,6/16/12,"12,944",6/9/12,"119,772","3,677,337",3.26
New Jersey,6/23/12,"17,838",6/16/12,"121,100","3,677,337",3.29
New Jersey,6/30/12,"17,953",6/23/12,"125,797","3,677,337",3.42
New Jersey,7/7/12,"12,671",6/30/12,"128,846","3,677,337",3.5
New Jersey,7/14/12,"11,246",7/7/12,"143,059","3,681,631",3.89
New Jersey,7/21/12,"10,366",7/14/12,"141,328","3,681,631",3.84
New Jersey,7/28/12,"9,088",7/21/12,"140,624","3,681,631",3.82
New Jersey,8/4/12,"9,734",7/28/12,"140,084","3,681,631",3.8
New Jersey,8/11/12,"8,835",8/4/12,"137,723","3,681,631",3.74
New Jersey,8/18/12,"8,956",8/11/12,"138,482","3,681,631",3.76
New Jersey,8/25/12,"9,075",8/18/12,"136,794","3,681,631",3.72
New Jersey,9/1/12,"8,286",8/25/12,"139,237","3,681,631",3.78
New Jersey,9/8/12,"8,953",9/1/12,"134,098","3,681,631",3.64
New Jersey,9/15/12,"9,130",9/8/12,"129,785","3,681,631",3.53
New Jersey,9/22/12,"9,332",9/15/12,"117,595","3,681,631",3.19
New Jersey,9/29/12,"9,445",9/22/12,"115,706","3,681,631",3.14
New Jersey,10/6/12,"10,176",9/29/12,"114,622","3,681,631",3.11
New Jersey,10/13/12,"8,865",10/6/12,"112,620","3,693,124",3.05
New Jersey,10/20/12,"10,440",10/13/12,"117,408","3,693,124",3.18
New Jersey,10/27/12,"9,360",10/20/12,"115,374","3,693,124",3.12
New Jersey,11/3/12,"15,035",10/27/12,"101,571","3,693,124",2.75
New Jersey,11/10/12,"46,129",11/3/12,"134,620","3,693,124",3.65
New Jersey,11/17/12,"45,631",11/10/12,"153,099","3,693,124",4.15
New Jersey,11/24/12,"21,665",11/17/12,"144,828","3,693,124",3.92
New Jersey,12/1/12,"23,856",11/24/12,"165,210","3,693,124",4.47
