State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
North Carolina,1/3/15,"6,685",12/27/14,"41,726","3,921,766",1.06
North Carolina,1/10/15,"8,410",1/3/15,"44,320","3,944,145",1.12
North Carolina,1/17/15,"6,732",1/10/15,"43,448","3,944,145",1.1
North Carolina,1/24/15,"5,065",1/17/15,"43,419","3,944,145",1.1
North Carolina,1/31/15,"5,427",1/24/15,"43,424","3,944,145",1.1
North Carolina,2/7/15,"5,498",1/31/15,"42,656","3,944,145",1.08
North Carolina,2/14/15,"4,635",2/7/15,"41,320","3,944,145",1.05
North Carolina,2/21/15,"3,866",2/14/15,"40,863","3,944,145",1.04
North Carolina,2/28/15,"4,463",2/21/15,"39,929","3,944,145",1.01
North Carolina,3/7/15,"5,167",2/28/15,"40,706","3,944,145",1.03
North Carolina,3/14/15,"4,343",3/7/15,"38,985","3,944,145",0.99
North Carolina,3/21/15,"4,336",3/14/15,"37,989","3,944,145",0.96
North Carolina,3/28/15,"4,149",3/21/15,"37,029","3,944,145",0.94
North Carolina,4/4/15,"3,791",3/28/15,"35,573","3,944,145",0.9
North Carolina,4/11/15,"4,863",4/4/15,"34,814","3,965,411",0.88
North Carolina,4/18/15,"4,343",4/11/15,"35,072","3,965,411",0.88
North Carolina,4/25/15,"4,103",4/18/15,"34,542","3,965,411",0.87
North Carolina,5/2/15,"4,140",4/25/15,"34,443","3,965,411",0.87
North Carolina,5/9/15,"4,941",5/2/15,"33,715","3,965,411",0.85
North Carolina,5/16/15,"5,070",5/9/15,"33,617","3,965,411",0.85
North Carolina,5/23/15,"4,809",5/16/15,"34,047","3,965,411",0.86
North Carolina,5/30/15,"3,890",5/23/15,"34,185","3,965,411",0.86
North Carolina,6/6/15,"4,890",5/30/15,"34,659","3,965,411",0.87
North Carolina,6/13/15,"4,522",6/6/15,"34,814","3,965,411",0.88
North Carolina,6/20/15,"4,720",6/13/15,"35,148","3,965,411",0.89
North Carolina,6/27/15,"4,330",6/20/15,"35,370","3,965,411",0.89
North Carolina,7/4/15,"3,786",6/27/15,"34,731","3,965,411",0.88
North Carolina,7/11/15,"4,914",7/4/15,"35,599","3,988,755",0.89
North Carolina,7/18/15,"4,025",7/11/15,"35,864","3,988,755",0.9
North Carolina,7/25/15,"3,948",7/18/15,"36,226","3,988,755",0.91
North Carolina,8/1/15,"3,981",7/25/15,"35,504","3,988,755",0.89
North Carolina,8/8/15,"4,060",8/1/15,"35,173","3,988,755",0.88
North Carolina,8/15/15,"3,701",8/8/15,"34,679","3,988,755",0.87
North Carolina,8/22/15,"3,643",8/15/15,"33,484","3,988,755",0.84
North Carolina,8/29/15,"3,771",8/22/15,"31,615","3,988,755",0.79
North Carolina,9/5/15,"3,883",8/29/15,"30,286","3,988,755",0.76
North Carolina,9/12/15,"3,542",9/5/15,"29,597","3,988,755",0.74
North Carolina,9/19/15,"3,605",9/12/15,"29,247","3,988,755",0.73
North Carolina,9/26/15,"3,510",9/19/15,"28,672","3,988,755",0.72
North Carolina,10/3/15,"3,942",9/26/15,"28,239","3,988,755",0.71
North Carolina,10/10/15,"4,014",10/3/15,"27,986","4,016,117",0.7
North Carolina,10/17/15,"3,702",10/10/15,"27,498","4,016,117",0.68
North Carolina,10/24/15,"3,809",10/17/15,"26,692","4,016,117",0.66
North Carolina,10/31/15,"3,770",10/24/15,"26,114","4,016,117",0.65
North Carolina,11/7/15,"4,632",10/31/15,"26,142","4,016,117",0.65
North Carolina,11/14/15,"4,557",11/7/15,"26,557","4,016,117",0.66
North Carolina,11/21/15,"4,606",11/14/15,"27,478","4,016,117",0.68
North Carolina,11/28/15,"2,809",11/21/15,"26,652","4,016,117",0.66
North Carolina,12/5/15,"5,328",11/28/15,"28,712","4,016,117",0.71
North Carolina,12/12/15,"4,465",12/5/15,"28,741","4,016,117",0.72
