State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Texas,1/2/10,"16,583",12/26/09,"265,975","10,229,773",2.6
Texas,1/9/10,"32,475",1/2/10,"261,160","10,229,773",2.55
Texas,1/16/10,"24,421",1/9/10,"264,374","10,151,451",2.6
Texas,1/23/10,"19,985",1/16/10,"254,414","10,151,451",2.51
Texas,1/30/10,"21,108",1/23/10,"256,819","10,151,451",2.53
Texas,2/6/10,"21,864",1/30/10,"246,546","10,151,451",2.43
Texas,2/13/10,"19,228",2/6/10,"249,038","10,151,451",2.45
Texas,2/20/10,"18,206",2/13/10,"243,367","10,151,451",2.4
Texas,2/27/10,"19,646",2/20/10,"246,629","10,151,451",2.43
Texas,3/6/10,"20,525",2/27/10,"239,272","10,151,451",2.36
Texas,3/13/10,"18,933",3/6/10,"238,815","10,151,451",2.35
Texas,3/20/10,"17,567",3/13/10,"233,413","10,151,451",2.3
Texas,3/27/10,"21,207",3/20/10,"236,970","10,151,451",2.33
Texas,4/3/10,"18,069",3/27/10,"224,247","10,151,451",2.21
Texas,4/10/10,"22,645",4/3/10,"225,666","10,151,451",2.22
Texas,4/17/10,"20,149",4/10/10,"218,901","10,054,936",2.18
Texas,4/24/10,"19,628",4/17/10,"233,963","10,054,936",2.33
Texas,5/1/10,"19,643",4/24/10,"219,271","10,054,936",2.18
Texas,5/8/10,"20,207",5/1/10,"220,836","10,054,936",2.2
Texas,5/15/10,"19,563",5/8/10,"211,257","10,054,936",2.1
Texas,5/22/10,"20,042",5/15/10,"217,016","10,054,936",2.16
Texas,5/29/10,"18,979",5/22/10,"210,170","10,054,936",2.09
Texas,6/5/10,"18,360",5/29/10,"212,593","10,054,936",2.11
Texas,6/12/10,"21,331",6/5/10,"211,377","10,054,936",2.1
Texas,6/19/10,"20,268",6/12/10,"221,742","10,054,936",2.21
Texas,6/26/10,"20,490",6/19/10,"222,802","10,054,936",2.22
Texas,7/3/10,"19,812",6/26/10,"227,549","10,054,936",2.26
Texas,7/10/10,"21,927",7/3/10,"226,038","9,958,054",2.27
Texas,7/17/10,"21,123",7/10/10,"233,302","9,958,054",2.34
Texas,7/24/10,"19,095",7/17/10,"241,794","9,958,054",2.43
Texas,7/31/10,"19,358",7/24/10,"240,456","9,958,054",2.41
Texas,8/7/10,"20,429",7/31/10,"234,657","9,958,054",2.36
Texas,8/14/10,"19,271",8/7/10,"216,017","9,958,054",2.17
Texas,8/21/10,"18,941",8/14/10,"218,763","9,958,054",2.2
Texas,8/28/10,"19,683",8/21/10,"210,636","9,958,054",2.12
Texas,9/4/10,"20,492",8/28/10,"210,311","9,958,054",2.11
Texas,9/11/10,"16,674",9/4/10,"197,869","9,958,054",1.99
Texas,9/18/10,"18,526",9/11/10,"207,868","9,958,054",2.09
Texas,9/25/10,"18,445",9/18/10,"198,589","9,958,054",1.99
Texas,10/2/10,"18,660",9/25/10,"202,693","9,958,054",2.04
Texas,10/9/10,"23,331",10/2/10,"190,669","9,958,054",1.91
Texas,10/16/10,"18,946",10/9/10,"195,886","9,958,054",1.97
Texas,10/23/10,"19,581",10/16/10,"201,208","9,900,028",2.03
