State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Texas,1/2/16,"12,859",12/26/15,"180,569","11,275,316",1.6
Texas,1/9/16,"26,258",1/2/16,"179,040","11,181,963",1.6
Texas,1/16/16,"19,126",1/9/16,"181,738","11,181,963",1.63
Texas,1/23/16,"16,838",1/16/16,"175,742","11,181,963",1.57
Texas,1/30/16,"17,635",1/23/16,"179,310","11,181,963",1.6
Texas,2/6/16,"19,309",1/30/16,"174,000","11,181,963",1.56
Texas,2/13/16,"16,967",2/6/16,"174,666","11,181,963",1.56
Texas,2/20/16,"15,977",2/13/16,"174,913","11,181,963",1.56
Texas,2/27/16,"16,936",2/20/16,"179,585","11,181,963",1.61
Texas,3/5/16,"17,643",2/27/16,"176,560","11,181,963",1.58
Texas,3/12/16,"16,955",3/5/16,"175,285","11,181,963",1.57
Texas,3/19/16,"16,306",3/12/16,"179,249","11,181,963",1.6
Texas,3/26/16,"17,361",3/19/16,"182,931","11,181,963",1.64
Texas,4/2/16,"16,427",3/26/16,"178,756","11,181,963",1.6
Texas,4/9/16,"19,103",4/2/16,"172,637","11,416,813",1.51
Texas,4/16/16,"16,564",4/9/16,"176,156","11,416,813",1.54
Texas,4/23/16,"16,288",4/16/16,"181,331","11,416,813",1.59
Texas,4/30/16,"16,133",4/23/16,"178,982","11,416,813",1.57
Texas,5/7/16,"17,074",4/30/16,"180,372","11,416,813",1.58
Texas,5/14/16,"17,346",5/7/16,"175,739","11,416,813",1.54
Texas,5/21/16,"17,421",5/14/16,"182,079","11,416,813",1.59
Texas,5/28/16,"17,101",5/21/16,"179,596","11,416,813",1.57
Texas,6/4/16,"16,543",5/28/16,"183,745","11,416,813",1.61
Texas,6/11/16,"17,624",6/4/16,"179,754","11,416,813",1.57
Texas,6/18/16,"17,571",6/11/16,"189,644","11,416,813",1.66
Texas,6/25/16,"17,181",6/18/16,"191,054","11,416,813",1.67
Texas,7/2/16,"16,540",6/25/16,"190,291","11,416,813",1.67
Texas,7/9/16,"16,075",7/2/16,"183,095","11,464,998",1.6
Texas,7/16/16,"17,483",7/9/16,"192,200","11,464,998",1.68
Texas,7/23/16,"15,838",7/16/16,"192,281","11,464,998",1.68
Texas,7/30/16,"14,990",7/23/16,"189,988","11,464,998",1.66
Texas,8/6/16,"16,186",7/30/16,"188,295","11,464,998",1.64
Texas,8/13/16,"15,596",8/6/16,"182,533","11,464,998",1.59
Texas,8/20/16,"15,210",8/13/16,"185,052","11,464,998",1.61
